ID,site number,site location,cluster name,site acronym,date,time,personnel,weather,water appearance,water odor strength,water odor,phytoplankton color,phytoplankton clumps,comments
155,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","02/16/00 00:00:00","12/30/99 10:00:00","LB, DL","cool, partyly cloudy","turbid, greenish/brown","medium","musty","greenish/brown","no","water level down-1' from high mark"
156,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","02/16/00 00:00:00",,,,,,,,,"plant was off-line, no samples"
157,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","02/16/00 00:00:00","12/30/99 11:00:00","LB, DL","cloudy, cool","clear, green","medium/strong","earthy, musty",,,"water is quite clear"
158,"R17","Deer Valley WTP treated water","srp","deer valley-treated","02/16/00 00:00:00",,,,,,,,,"plant was off-line, no samples"
159,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","02/16/00 00:00:00","12/30/99 08:15:00","DL, LB","sunny, cool","muddy, turbid (brown)","medium-weak","earthy","brownsih/green","no","white floc material possibly prescut????"
160,"R19","Val Vista WTP treated water","srp","val vista-treated","02/16/00 00:00:00",,"LB, DL","clear","turbid (white-floc)",,,"green","no","alum and plymor in floc.basins"
161,"R20","Verde River at Tangle (USGS)","verde","verde abv horseshoe","03/09/00 00:00:00",,,,,,,,,
162,"R1","CAP canal above Waddell Canal","cap","cap-siphon","03/16/00 00:00:00",,,,,,,,,
163,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","03/16/00 00:00:00",,,,,,,,,
164,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","03/16/00 00:00:00",,,,,,,,,
165,"R3","Waddell Canal","cap","waddell canal","03/16/00 00:00:00",,,,,,,,,
166,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","03/16/00 00:00:00",,,,,,,,,
167,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","03/16/00 00:00:00",,,,,,,,,
168,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","03/16/00 00:00:00",,,,,,,,,
169,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","03/16/00 00:00:00",,,,,,,,,
170,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","03/16/00 00:00:00",,,,,,,,,
171,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","03/17/00 00:00:00",,,,,,,,,
172,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","03/17/00 00:00:00",,,,,,,,,
173,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","03/17/00 00:00:00",,,,,,,,,
174,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","03/17/00 00:00:00",,,,,,,,,
175,"R11","CAP Canal at Cross-connect","cap","cap @ x con","03/17/00 00:00:00",,,,,,,,,
176,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","03/17/00 00:00:00",,,,,,,,,
177,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","03/17/00 00:00:00",,,,,,,,,
178,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","03/15/00 00:00:00",,,,,,,,,
179,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","03/15/00 00:00:00",,,,,,,,,
180,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","03/15/00 00:00:00",,,,,,,,,
181,"R17","Deer Valley WTP treated water","srp","deer valley-treated","03/15/00 00:00:00",,,,,,,,,
182,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","03/15/00 00:00:00",,,,,,,,,
183,"R19","Val Vista WTP treated water","srp","val vista-treated","03/15/00 00:00:00",,,,,,,,,
184,"R20","Verde River at Tangle (USGS)","verde","verde abv horseshoe","03/30/00 00:00:00",,,,,,,,,
