"site number","site location","cluster","site acronym","arsenic (ug/L)","perchlorate (ug/L)","date","BDL" 
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",5.3,NA,2005-07-12,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",5.1,NA,2005-07-12,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",5.6,NA,2005-07-12,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",6.2,NA,2005-07-12,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",0,NA,2005-07-12,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",2.9,NA,2005-07-12,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2005-07-12,NA
"Green In","Greenway WTP Inlet","srp","Green In",5.7,NA,2005-08-16,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",2.5,NA,2005-08-16,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",2,NA,2005-08-16,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",NA,NA,2005-08-16,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",5.5,NA,2005-08-16,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",5.6,NA,2005-08-16,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",6.4,NA,2005-08-16,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",4,NA,2005-08-16,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",6.3,NA,2005-08-16,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",4,NA,2005-08-16,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2.1,NA,2005-08-16,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",5.1,NA,2005-08-16,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",4.7,NA,2005-08-16,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",5.3,NA,2005-08-16,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",0,NA,2005-08-16,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",6.1,NA,2005-08-16,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",0,NA,2005-08-16,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",5,NA,2005-08-16,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",0,NA,2005-08-16,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",16.2,NA,2005-08-16,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",5.8,NA,2005-08-16,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",5.9,NA,2005-08-16,NA
"R25","verde river at beeline highway","verde","verde @ beeline",7.3,NA,2005-08-16,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",4.2,NA,2005-08-16,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",3.2,NA,2005-08-16,NA
"R3","Waddell Canal","cap","waddell canal",3.2,NA,2005-08-16,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",9.8,NA,2005-08-16,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",9.5,NA,2005-08-16,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",4.6,NA,2005-08-16,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",4.6,NA,2005-08-16,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",4.1,NA,2005-08-16,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",5.9,NA,2005-08-16,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",4.8,NA,2005-08-16,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",3.9,NA,2005-08-16,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",2.5,NA,2005-08-16,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2005-08-16,NA
"Green In","Greenway WTP Inlet","srp","Green In",5.4,NA,2005-09-13,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",2.1,NA,2005-09-13,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",2.3,NA,2005-09-13,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",NA,NA,2005-09-13,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",5.3,NA,2005-09-13,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",4.7,NA,2005-09-13,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",6,NA,2005-09-13,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",2.7,NA,2005-09-13,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",5,NA,2005-09-13,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",4.5,NA,2005-09-13,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2.7,NA,2005-09-13,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",5.6,NA,2005-09-13,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",4.7,NA,2005-09-13,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",4.9,NA,2005-09-13,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",0,NA,2005-09-13,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",5,NA,2005-09-13,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",0,NA,2005-09-13,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",5.3,NA,2005-09-13,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",0,NA,2005-09-13,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",20.8,NA,2005-09-13,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",5,NA,2005-09-13,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",5.5,NA,2005-09-13,NA
"R25","verde river at beeline highway","verde","verde @ beeline",9.9,NA,2005-09-13,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",3.8,NA,2005-09-13,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",3,NA,2005-09-13,NA
"R3","Waddell Canal","cap","waddell canal",4,NA,2005-09-13,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",10.5,NA,2005-09-13,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",11.5,NA,2005-09-13,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",4.9,NA,2005-09-13,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",4.9,NA,2005-09-13,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",3.9,NA,2005-09-13,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",5.2,NA,2005-09-13,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",5.3,NA,2005-09-13,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",3,NA,2005-09-13,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",2.1,NA,2005-09-13,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2005-09-13,NA
"Green In","Greenway WTP Inlet","srp","Green In",4.7,NA,2005-10-11,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",0,NA,2005-10-11,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",0,NA,2005-10-11,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",NA,NA,2005-10-11,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",5,NA,2005-10-11,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",4.5,NA,2005-10-11,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",5,NA,2005-10-11,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",3.4,NA,2005-10-11,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",4.8,NA,2005-10-11,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",4,NA,2005-10-11,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",0,NA,2005-10-11,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",4.7,NA,2005-10-11,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",3.9,NA,2005-10-11,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",4.7,NA,2005-10-11,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",0,NA,2005-10-11,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",4.4,NA,2005-10-11,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",0,NA,2005-10-11,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",5.1,NA,2005-10-11,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",0,NA,2005-10-11,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",15,NA,2005-10-11,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",4.4,NA,2005-10-11,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",5.2,NA,2005-10-11,NA
"R25","verde river at beeline highway","verde","verde @ beeline",8.6,NA,2005-10-11,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",3.5,NA,2005-10-11,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",2.9,NA,2005-10-11,NA
"R3","Waddell Canal","cap","waddell canal",0,NA,2005-10-11,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",9.6,NA,2005-10-11,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",9.2,NA,2005-10-11,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",3.9,NA,2005-10-11,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",3.8,NA,2005-10-11,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",4,NA,2005-10-11,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",5.2,NA,2005-10-11,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",4.6,NA,2005-10-11,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",3.7,NA,2005-10-11,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",2,NA,2005-10-11,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2005-10-11,NA
"Green In","Greenway WTP Inlet","srp","Green In",4.2,NA,2005-11-15,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",2,NA,2005-11-15,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",2.7,NA,2005-11-15,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",NA,NA,2005-11-15,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",7.4,NA,2005-11-15,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",4.3,NA,2005-11-15,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",3.8,NA,2005-11-15,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",3.4,NA,2005-11-15,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",4.8,NA,2005-11-15,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",4.7,NA,2005-11-15,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2.5,NA,2005-11-15,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",7,NA,2005-11-15,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",4.1,NA,2005-11-15,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",4.2,NA,2005-11-15,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",0,NA,2005-11-15,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",3.8,NA,2005-11-15,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",0,NA,2005-11-15,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",7.2,NA,2005-11-15,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",NA,NA,2005-11-15,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",16.8,NA,2005-11-15,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",4.6,NA,2005-11-15,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",4.2,NA,2005-11-15,NA
"R25","verde river at beeline highway","verde","verde @ beeline",10.7,NA,2005-11-15,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",4.2,NA,2005-11-15,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",3.9,NA,2005-11-15,NA
"R3","Waddell Canal","cap","waddell canal",2.4,NA,2005-11-15,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",10.3,NA,2005-11-15,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",10.4,NA,2005-11-15,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",4.7,NA,2005-11-15,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",4.6,NA,2005-11-15,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",5,NA,2005-11-15,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",7.4,NA,2005-11-15,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",NA,NA,2005-11-15,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",NA,NA,2005-11-15,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",2.4,NA,2005-11-15,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2005-11-15,NA
"Green In","Greenway WTP Inlet","srp","Green In",5.8,NA,2005-12-06,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",0,NA,2005-12-06,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",0,NA,2005-12-06,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",NA,NA,2005-12-06,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",4.8,NA,2005-12-06,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",5.4,NA,2005-12-06,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",5.6,NA,2005-12-06,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",3.3,NA,2005-12-06,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",5.4,NA,2005-12-06,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",3.6,NA,2005-12-06,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",0,NA,2005-12-06,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",6.3,NA,2005-12-06,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",4.2,NA,2005-12-06,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",5.2,NA,2005-12-06,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",0,NA,2005-12-06,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",5.7,NA,2005-12-06,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",NA,NA,2005-12-06,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",NA,NA,2005-12-06,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",NA,NA,2005-12-06,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",4,NA,2005-12-06,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",5.2,NA,2005-12-06,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",4.6,NA,2005-12-06,NA
"R25","verde river at beeline highway","verde","verde @ beeline",8.7,NA,2005-12-06,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",4.2,NA,2005-12-06,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",4.3,NA,2005-12-06,NA
"R3","Waddell Canal","cap","waddell canal",0,NA,2005-12-06,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",9.8,NA,2005-12-06,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",10.2,NA,2005-12-06,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",4.6,NA,2005-12-06,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",5.1,NA,2005-12-06,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",4.5,NA,2005-12-06,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",6.4,NA,2005-12-06,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",NA,NA,2005-12-06,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",NA,NA,2005-12-06,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",0,NA,2005-12-06,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2005-12-06,NA
"Green In","Greenway WTP Inlet","srp","Green In",NA,NA,2006-01-17,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",NA,NA,2006-01-17,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",0,NA,2006-01-17,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",NA,NA,2006-01-17,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",5.1,NA,2006-01-17,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",4.6,NA,2006-01-17,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",4.8,NA,2006-01-17,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",2.4,NA,2006-01-17,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",3.9,NA,2006-01-17,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",2.2,NA,2006-01-17,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",0,NA,2006-01-17,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",5,NA,2006-01-17,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",3.1,NA,2006-01-17,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",4.6,NA,2006-01-17,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",0,NA,2006-01-17,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",4.6,NA,2006-01-17,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",0,NA,2006-01-17,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",6.5,NA,2006-01-17,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",0,NA,2006-01-17,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",17.4,NA,2006-01-17,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",3.7,NA,2006-01-17,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",4.5,NA,2006-01-17,NA
"R25","verde river at beeline highway","verde","verde @ beeline",6.9,NA,2006-01-17,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",3,NA,2006-01-17,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",3.2,NA,2006-01-17,NA
"R3","Waddell Canal","cap","waddell canal",4.3,NA,2006-01-17,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",9.4,NA,2006-01-17,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",9.5,NA,2006-01-17,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",3.8,NA,2006-01-17,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",3.4,NA,2006-01-17,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",3.8,NA,2006-01-17,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",5.8,NA,2006-01-17,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",NA,NA,2006-01-17,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",NA,NA,2006-01-17,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",0,NA,2006-01-17,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2006-01-17,NA
"Green In","Greenway WTP Inlet","srp","Green In",NA,NA,2006-02-13,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",NA,NA,2006-02-13,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",0,NA,2006-02-13,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",NA,NA,2006-02-13,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",10.1,NA,2006-02-13,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",10.3,NA,2006-02-13,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",NA,NA,2006-02-13,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",NA,NA,2006-02-13,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",10.6,NA,2006-02-13,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",3.8,NA,2006-02-13,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",NA,NA,2006-02-13,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",10.3,NA,2006-02-13,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",9.9,NA,2006-02-13,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",11,NA,2006-02-13,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",3.1,NA,2006-02-13,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",9.2,NA,2006-02-13,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",0,NA,2006-02-13,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",10.2,NA,2006-02-13,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",4.5,NA,2006-02-13,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",17.1,NA,2006-02-13,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",10.6,NA,2006-02-13,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",10.7,NA,2006-02-13,NA
"R25","verde river at beeline highway","verde","verde @ beeline",10.6,NA,2006-02-13,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",3,NA,2006-02-13,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",3.2,NA,2006-02-13,NA
"R3","Waddell Canal","cap","waddell canal",0,NA,2006-02-13,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",10.2,NA,2006-02-13,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",10.7,NA,2006-02-13,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",3.8,NA,2006-02-13,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",3.8,NA,2006-02-13,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",4.1,NA,2006-02-13,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",9.9,NA,2006-02-13,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",10.3,NA,2006-02-13,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",5.5,NA,2006-02-13,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",0,NA,2006-02-13,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2006-02-13,NA
"Green In","Greenway WTP Inlet","srp","Green In",5.3,NA,2006-03-13,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",2.8,NA,2006-03-13,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",0,NA,2006-03-13,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",NA,NA,2006-03-13,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",5,NA,2006-03-13,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2.8,NA,2006-03-13,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",NA,NA,2006-03-13,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",NA,NA,2006-03-13,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",3,NA,2006-03-13,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",3.6,NA,2006-03-13,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",0,NA,2006-03-13,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",3.9,NA,2006-03-13,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2.9,NA,2006-03-13,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",NA,NA,2006-03-13,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",NA,NA,2006-03-13,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",6.2,NA,2006-03-13,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",0,NA,2006-03-13,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",4.4,NA,2006-03-13,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",0,NA,2006-03-13,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",16.9,NA,2006-03-13,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",4.5,NA,2006-03-13,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",4.7,NA,2006-03-13,NA
"R25","verde river at beeline highway","verde","verde @ beeline",9,NA,2006-03-13,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",2,NA,2006-03-13,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",0,NA,2006-03-13,NA
"R3","Waddell Canal","cap","waddell canal",0,NA,2006-03-13,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",9.3,NA,2006-03-13,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",8.9,NA,2006-03-13,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",3,NA,2006-03-13,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",3,NA,2006-03-13,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",3.1,NA,2006-03-13,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",4.3,NA,2006-03-13,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",4.6,NA,2006-03-13,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",2.2,NA,2006-03-13,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",0,NA,2006-03-13,NA
