"site number","site location","cluster","site acronym","date","e_coli","coliform","mycobacterium","mycobacterium_flag","Comments"
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2016-02-01,8,296,3,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2016-02-01,2,168,1,NA,"Counted samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2016-02-01,7,436,5,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2016-02-01,13,368,4,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2016-02-01,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2016-02-01,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2016-02-01,24,304,NA,"NCDC",NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2016-02-01,24,184,5,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2016-02-01,6,452,0,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2016-02-01,70,152,1,NA,NA
"R3","Waddell Canal","cap","waddell canal",2016-02-01,1,180,0,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2016-02-01,22,140,NA,"NCDC",NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2016-03-07,16,648,0,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2016-03-07,20,664,5,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2016-03-07,9,388,17,NA,"Counted samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2016-03-07,13,656,25,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2016-03-07,6,688,3,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2016-03-07,6,980,0,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2016-03-07,8,412,1,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2016-03-07,28,684,28,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2016-03-07,72,544,19,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2016-03-07,23,624,4,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2016-03-07,22,648,14,NA,NA
"R3","Waddell Canal","cap","waddell canal",2016-03-07,2,476,0,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2016-03-07,NA,NA,NA,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2016-04-04,21,868,29,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2016-04-04,28,864,24,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2016-04-04,11,928,41,NA,"Counted samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2016-04-04,27,928,4,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2016-04-04,2,732,4,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2016-04-04,1,2132,12,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2016-04-04,18,1324,5,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2016-04-04,13,1220,14,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2016-04-04,15,1288,5,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2016-04-04,10,852,6,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2016-04-04,35,700,NA,"NCDC",NA
"R3","Waddell Canal","cap","waddell canal",2016-04-04,2,356,4,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2016-04-04,22,1040,NA,"NCDC",NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2016-05-02,42,692,2,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2016-05-02,27,576,2,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2016-05-02,7,1868,6,NA,"Counted samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2016-05-02,40,700,5,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2016-05-02,6,852,3,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2016-05-02,9,448,0,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2016-05-02,6,784,10,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2016-05-02,6,636,7,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2016-05-02,44,508,1,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2016-05-02,29,684,4,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2016-05-02,840,308,30,NA,NA
"R3","Waddell Canal","cap","waddell canal",2016-05-02,6,1360,0,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2016-05-02,6,792,24,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2016-06-06,8,1528,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2016-06-06,10,1776,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2016-06-06,5,2008,NA,NA,"Counted samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2016-06-06,15,1748,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2016-06-06,2,648,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2016-06-06,17,1300,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2016-06-06,6,1704,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2016-06-06,17,1684,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2016-06-06,91,1100,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2016-06-06,15,1340,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2016-06-06,1,1312,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2016-06-06,0,660,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2016-06-06,10,1936,NA,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2016-07-11,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2016-07-11,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2016-07-11,NA,NA,NA,NA,NA
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2016-07-11,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2016-07-11,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2016-07-11,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2016-07-11,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2016-07-11,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2016-07-11,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2016-07-11,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2016-07-11,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2016-07-11,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2016-07-11,NA,NA,NA,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2016-08-01,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2016-08-01,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2016-08-01,NA,NA,NA,NA,NA
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2016-08-01,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2016-08-01,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2016-08-01,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2016-08-01,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2016-08-01,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2016-08-01,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2016-08-01,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2016-08-01,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2016-08-01,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2016-08-01,NA,NA,NA,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2016-09-12,44,1072,4,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2016-09-12,34,936,4,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2016-09-12,13,1728,1,NA,"Counted samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2016-09-12,17,1048,2,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2016-09-12,11,1184,9,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2016-09-12,23,2112,0,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2016-09-12,18,1832,15,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2016-09-12,31,1832,1,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2016-09-12,33,928,1,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2016-09-12,6,1168,2,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2016-09-12,92,1304,NA,"NCDC",NA
"R3","Waddell Canal","cap","waddell canal",2016-09-12,0,440,0,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2016-09-12,28,832,0,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2016-10-03,38,760,1,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2016-10-03,34,968,0,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2016-10-03,11,1136,2,NA,"Counted samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2016-10-03,7,1144,1,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2016-10-03,0,1328,3,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2016-10-03,16,752,2,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2016-10-03,22,984,4,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2016-10-03,33,888,3,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2016-10-03,43,922,2,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2016-10-03,10,1200,2,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2016-10-03,28,1168,NA,"NCDC",NA
"R3","Waddell Canal","cap","waddell canal",2016-10-03,8,1304,2,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2016-10-03,48,1176,1,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2016-11-07,38,760,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2016-11-07,34,1064,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2016-11-07,10,1368,NA,NA,"Counted samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2016-11-07,32,1168,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2016-11-07,2,1432,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2016-11-07,1,1288,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2016-11-07,3,1424,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2016-11-07,27,1544,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2016-11-07,43,832,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2016-11-07,6,872,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2016-11-07,55,952,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2016-11-07,11,1184,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2016-11-07,69,760,NA,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2016-12-05,NA,NA,0,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2016-12-05,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2016-12-05,NA,NA,11,NA,"Counted samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2016-12-05,NA,NA,0,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2016-12-05,NA,NA,3,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2016-12-05,NA,NA,0,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2016-12-05,NA,NA,9,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2016-12-05,NA,NA,NA,"NCDC",NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2016-12-05,NA,NA,7,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2016-12-05,NA,NA,6,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2016-12-05,NA,NA,NA,"NCDC",NA
"R3","Waddell Canal","cap","waddell canal",2016-12-05,NA,NA,0,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2016-12-05,NA,NA,39,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2017-01-02,94,640,100,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2017-01-02,NA,NA,96,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2017-01-02,3,576,2,NA,"Counted samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2017-01-02,15,648,0,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2017-01-02,1,944,3,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2017-01-02,22,888,0,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2017-01-02,19,1048,0,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2017-01-02,43,928,14,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2017-01-02,54,800,0,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2017-01-02,25,744,0,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2017-01-02,41,696,88,NA,NA
"R3","Waddell Canal","cap","waddell canal",2017-01-02,2,968,0,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2017-01-02,NA,NA,NA,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2017-02-06,8,1336,14,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2017-02-06,7,1016,3,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2017-02-06,9,752,22,NA,"Counted samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2017-02-06,49,1072,9,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2017-02-06,6,1128,4,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2017-02-06,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2017-02-06,4,1032,3,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2017-02-06,14,904,NA,"NCDC",NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2017-02-06,66,1184,3,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2017-02-06,36,784,6,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2017-02-06,19,912,NA,"NCDC",NA
"R3","Waddell Canal","cap","waddell canal",2017-02-06,1,336,2,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2017-02-06,NA,NA,NA,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2017-03-06,19,1024,NA,"NCDC",NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2017-03-06,12,912,15,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2017-03-06,NA,NA,NA,NA,"Counted samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2017-03-06,25,1080,NA,"NCDC",NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2017-03-06,13,848,18,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2017-03-06,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2017-03-06,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2017-03-06,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2017-03-06,170,536,5,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2017-03-06,16,1280,13,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2017-03-06,9,808,23,NA,NA
"R3","Waddell Canal","cap","waddell canal",2017-03-06,1,312,0,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2017-03-06,33,856,NA,"NCDC",NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2017-04-03,9,1128,61,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2017-04-03,5,1232,31,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2017-04-03,10,912,57,NA,"Counted samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2017-04-03,21,1000,NA,"NCDC",NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2017-04-03,1,904,58,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2017-04-03,8,1124,6,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2017-04-03,11,1336,36,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2017-04-03,13,992,29,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2017-04-03,37,984,92,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2017-04-03,16,712,29,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2017-04-03,12,1304,55,NA,NA
"R3","Waddell Canal","cap","waddell canal",2017-04-03,0,952,0,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2017-04-03,12,800,NA,"NCDC",NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2017-05-01,20,1136,29,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2017-05-01,17,936,96,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2017-05-01,7,952,87,NA,"Counted samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2017-05-01,58,NA,60,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2017-05-01,19,888,33,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2017-05-01,12,1344,0,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2017-05-01,16,1480,37,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2017-05-01,18,1072,NA,"NCDC",NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2017-05-01,339,456,99,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2017-05-01,7,968,83,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2017-05-01,10,1208,70,NA,NA
"R3","Waddell Canal","cap","waddell canal",2017-05-01,4,1392,70,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2017-05-01,26,896,43,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2017-06-05,19,1440,NA,"NCDC",NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2017-06-05,11,1048,0,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2017-06-05,13,984,26,NA,"Counted samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2017-06-05,22,1096,20,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2017-06-05,1,1040,11,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2017-06-05,10,1400,3,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2017-06-05,15,976,0,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2017-06-05,13,736,14,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2017-06-05,36,1232,10,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2017-06-05,8,904,4,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2017-06-05,64,856,50,NA,NA
"R3","Waddell Canal","cap","waddell canal",2017-06-05,1,696,1,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2017-06-05,26,1096,NA,"NCDC",NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2017-07-03,14,1136,28,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2017-07-03,12,1056,7,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2017-07-03,11,1200,12,NA,"Counted samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2017-07-03,1,1416,10,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2017-07-03,3,872,5,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2017-07-03,10,744,0,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2017-07-03,12,704,2,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2017-07-03,11,1208,1,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2017-07-03,93,1056,21,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2017-07-03,5,1048,35,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2017-07-03,13,1440,36,NA,NA
"R3","Waddell Canal","cap","waddell canal",2017-07-03,1,600,16,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2017-07-03,19,1040,16,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2017-08-07,6,824,NA,"CONT",NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2017-08-07,28,1072,NA,"CONT",NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2017-08-07,22,1232,NA,"CONT","Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2017-08-07,5,1208,NA,"CONT",NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2017-08-07,26,1520,NA,"CONT",NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2017-08-07,26,1176,10,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2017-08-07,21,1432,31,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2017-08-07,41,1432,NA,"CONT",NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2017-08-07,13,896,NA,"CONT",NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2017-08-07,7,872,NA,"CONT",NA
"R25","verde river at beeline highway","verde","verde @ beeline",2017-08-07,23,752,12,NA,NA
"R3","Waddell Canal","cap","waddell canal",2017-08-07,0,1648,1,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2017-08-07,50,1296,NA,"CONT",NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2017-09-04,22,1456,6,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2017-09-04,32,1368,5,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2017-09-04,42,2024,3,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2017-09-04,12,1056,5,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2017-09-04,13,1568,6,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2017-09-04,9,2560,0,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2017-09-04,13,2496,2,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2017-09-04,20,2416,NA,"CONT",NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2017-09-04,44,1224,3,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2017-09-04,9,1448,4,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2017-09-04,27,824,6,NA,NA
"R3","Waddell Canal","cap","waddell canal",2017-09-04,3,1200,0,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2017-09-04,59,1200,7,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2017-10-02,36,1224,1,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2017-10-02,27,1432,1,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2017-10-02,25,1384,0,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2017-10-02,49,1656,1,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2017-10-02,14,1552,0,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2017-10-02,13,912,0,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2017-10-02,4,912,0,NA,NA
