"site number","site location","cluster","site acronym","date","geosmin (ng/L)","Conductance (us/cm)","TP (ug/L)","DOC (mg/L)","UVA (cm-1)","Suva(L/mg-m)","TDN (mg/L)","MIB (ng/L)"
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",2015-08-05,0.424320339548114,1838,23,2.97,0.06,2.02020202020202,0.2566,4.60789029244336
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, eppi, upper",2015-08-05,-1.19464952826019,2040,15,3.048,0.071,2.32939632545932,0.2319,3.65124962412633
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",2015-08-05,-1.19464952826019,2050,34,3.463,0.079,2.28125902396766,0.2086,3.34697670628651
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, eppi, lower",2015-08-05,-1.19464952826019,2010,2,2.875,0.061,2.12173913043478,0.1663,6.96517857712087
"Roos2B","Roosevelt Lake, lower","srp","Roosevelt, hypo, lower",2015-08-05,-1.19464952826019,1945,3,2.826,0.068,2.40622788393489,0.1674,1.93888763269627
"APA1A","Apache Lake, upper","srp","Apache, eppi, upper",2015-11-04,1.85838279033013,2000,16,3.531,0.065,1.84083828943642,0.1789,24.701896868062
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",2015-11-04,1.40769481894166,1999,86,3.253,0.065,1.99815554872425,0.3806,12.3763823450879
"APA2A","Apache Lake, lower","srp","Apache, eppi, lower",2015-11-04,1.6952337446875,2040,11,4.512,0.059,1.30762411347518,0.1837,22.3425993815176
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",2015-11-04,0.927261441441546,1982,23,3.222,0.069,2.1415270018622,0.236,7.24944742240484
"Can1A","Canyon Lake, upper","srp","Canyon, eppi, upper",2015-11-04,3.04639628291014,1932,21,3.177,0.06,1.88857412653447,0.2377,12.5143105058397
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",2015-11-04,1.90435296341175,1948,17,3.927,0.065,1.65520753756048,0.3345,3.57438787605682
"Can2A","Canyon Lake, lower","srp","Canyon, eppi, lower",2015-11-04,1.90435296341175,2230,18,3.415,0.056,1.6398243045388,0.2831,3.57438787605682
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",2015-11-04,2.46681155170457,1935,73,3.371,0.057,1.69089291011569,0.2743,6.80390316629203
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, eppi, upper",2015-11-04,1.06246783285809,2060,27,2.973,0.059,1.98452741338715,0.1503,5.3601945889489
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",2015-11-04,1.04534168994533,2090,17,3.949,0.06,1.5193719929096,0.1467,3.98454266987147
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, eppi, lower",2015-11-04,1.64295394000644,2050,7,3.012,0.057,1.89243027888446,0.1458,2.20781017808149
"Roos2B","Roosevelt Lake, lower","srp","Roosevelt, hypo, lower",2015-11-04,NA,NA,NA,NA,NA,NA,NA,NA
"APA1A","Apache Lake, upper","srp","Apache, eppi, upper",2016-02-03,3.20535033954688,2020,0,2.453,0.06,2.44598450876478,0.2909,3.22334449053717
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",2016-02-03,1.88164161361571,2010,5,2.72,0.059,2.16911764705882,0.2872,4.11111031602281
"APA2A","Apache Lake, lower","srp","Apache, eppi, lower",2016-02-03,0.895122155570929,2010,2,2.446,0.058,2.37121831561733,0.3022,1.1347168564705
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",2016-02-03,-0.698337984669365,2020,46,2.412,0.059,2.44610281923715,0.3251,0.831528974105982
"Can1A","Canyon Lake, upper","srp","Canyon, eppi, upper",2016-02-03,-0.698337984669365,1770,4,2.902,0.1,3.44589937973811,0.418,1.52905926555899
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",2016-02-03,-0.698337984669365,1773,5,3.021,0.099,3.27706057596822,0.4234,2.09778424751073
"Can2A","Canyon Lake, lower","srp","Canyon, eppi, lower",2016-02-03,-0.698337984669365,1796,9,2.926,0.096,3.28092959671907,0.3966,-0.815197367364039
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",2016-02-03,-0.698337984669365,1787,4,2.93,0.094,3.20819112627986,0.3996,-0.815197367364039
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, eppi, upper",2016-02-03,-0.698337984669365,1879,6,2.496,0.085,3.40544871794872,0.2637,2.88250582539536
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",2016-02-03,-0.698337984669365,1884,0,2.517,0.081,3.2181168057211,0.326,1.87584279113932
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, eppi, lower",2016-02-03,-0.698337984669365,1914,0,2.359,0.071,3.00974989402289,0.2798,2.87457934481066
"Roos2B","Roosevelt Lake, lower","srp","Roosevelt, hypo, lower",2016-02-03,-0.698337984669365,1940,0,2.479,0.074,2.98507462686567,0.3257,2.60904224522344
"APA1A","Apache Lake, upper","srp","Apache, eppi, upper",2016-05-04,0.974751698172892,1991,12,5.08609375408507,0.061,1.19934871336191,NA,2.17470936574221
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",2016-05-04,-0.297389162528164,1919,16,3.32552485032288,0.061,1.83429692290759,NA,0.0217028981382086
"APA2A","Apache Lake, lower","srp","Apache, eppi, lower",2016-05-04,0.641181781123847,1992,6,3.09676069962613,0.059,1.90521663514791,NA,1.59147501066376
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",2016-05-04,0.54241957027319,1989,6,4.27352349081022,0.06,1.40399368645157,NA,1.20222199344695
"Can1A","Canyon Lake, upper","srp","Canyon, eppi, upper",2016-05-04,-0.608853061335581,1830,22,NA,NA,NA,NA,1.75692546439054
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",2016-05-04,NA,NA,NA,NA,NA,NA,NA,NA
"Can2A","Canyon Lake, lower","srp","Canyon, eppi, lower",2016-05-04,NA,NA,NA,NA,NA,NA,NA,NA
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",2016-05-04,NA,NA,NA,NA,NA,NA,NA,NA
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, eppi, upper",2016-05-04,9.39813446994551,1627,11,2.71871160030328,0.068,2.50118475208678,NA,2.77916266982548
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",2016-05-04,-1.10068447216424,1644,13,4.18410938848074,0.067,1.60129656706532,NA,0.0217028981382086
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, eppi, lower",2016-05-04,0.891496694148452,1736,8,2.87348688854611,0.068,2.36646285984642,NA,1.49785356674384
"Roos2B","Roosevelt Lake, lower","srp","Roosevelt, hypo, lower",2016-05-04,-0.506901424967475,1860,7,4.33783889774896,0.066,1.52149495533938,NA,0.0217028981382086
"APA1A","Apache Lake, upper","srp","Apache, eppi, upper",2016-08-03,1.94332284585936,1947,21,NA,NA,NA,NA,14.1571530783481
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",2016-08-03,0.129873957478701,1933,55,NA,NA,NA,NA,4.5878617447237
"APA2A","Apache Lake, lower","srp","Apache, eppi, lower",2016-08-03,0.129873957478701,1939,12,NA,NA,NA,NA,6.63676834660181
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",2016-08-03,0.129873957478701,1926,10,NA,NA,NA,NA,1.8920639062615
"Can1A","Canyon Lake, upper","srp","Canyon, eppi, upper",2016-08-03,1.80414740420709,2060,23,NA,NA,NA,NA,2.83780949621181
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",2016-08-03,1.22487664705982,1916,12,NA,NA,NA,NA,1.96176526226149
"Can2A","Canyon Lake, lower","srp","Canyon, eppi, lower",2016-08-03,1.92817519004768,1916,14,NA,NA,NA,NA,2.28019864821196
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",2016-08-03,1.54399404030048,1913,13,NA,NA,NA,NA,2.12857861987942
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, eppi, upper",2016-08-03,1.2841456627525,2010,25,NA,NA,NA,NA,11.786210548524
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",2016-08-03,0.129873957478701,2030,27,NA,NA,NA,NA,9.90912953660542
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, eppi, lower",2016-08-03,1.11975801545395,1818,10,NA,NA,NA,NA,18.6396551143199
"Roos2B","Roosevelt Lake, lower","srp","Roosevelt, hypo, lower",2016-08-03,0.129873957478701,1843,11,NA,NA,NA,NA,2.4506145478254
"APA1A","Apache Lake, upper","srp","Apache, eppi, upper",2016-11-09,-0.133707925813304,1889,0,NA,0.058,NA,NA,21.8282600895879
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",2016-11-09,-0.133707925813304,1893,0,NA,0.058,NA,NA,14.1120108044485
"APA2A","Apache Lake, lower","srp","Apache, eppi, lower",2016-11-09,-0.133707925813304,1912,0,NA,0.06,NA,NA,28.0176322707998
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",2016-11-09,-0.133707925813304,1895,0,NA,0.059,NA,NA,27.0854259162723
"Can1A","Canyon Lake, upper","srp","Canyon, eppi, upper",2016-11-09,2.06922581393345,1904,0,NA,0.062,NA,NA,4.13796374445129
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",2016-11-09,1.50383426104714,1907,2,NA,0.063,NA,NA,4.5200488465948
"Can2A","Canyon Lake, lower","srp","Canyon, eppi, lower",2016-11-09,1.59996994432209,1888,0,NA,0.061,NA,NA,4.46850800515672
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",2016-11-09,1.41799357700102,1888,0,NA,0.066,NA,NA,4.27681509646429
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, eppi, upper",2016-11-09,-0.133707925813304,2060,0,NA,0.073,NA,NA,5.67175089809843
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",2016-11-09,-0.133707925813304,2060,0,NA,0.081,NA,NA,5.75442761062608
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, eppi, lower",2016-11-09,-0.133707925813304,1949,0,NA,0.068,NA,NA,9.77258087523185
"Roos2B","Roosevelt Lake, lower","srp","Roosevelt, hypo, lower",2016-11-09,-0.133707925813304,1946,0,NA,0.068,NA,NA,9.75802912346937
"APA1A","Apache Lake, upper","srp","Apache, eppi, upper",2017-02-08,0,1893,77,NA,0.061,NA,NA,0
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",2017-02-08,0,1897,50,NA,0.065,NA,NA,0
"APA2A","Apache Lake, lower","srp","Apache, eppi, lower",2017-02-08,0,1813,76,NA,0.074,NA,NA,0
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",2017-02-08,0,1876,34,NA,0.063,NA,NA,0
"Can1A","Canyon Lake, upper","srp","Canyon, eppi, upper",2017-02-08,0,1674,100,NA,0.098,NA,NA,0
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",2017-02-08,0,1769,76,NA,0.099,NA,NA,0
"Can2A","Canyon Lake, lower","srp","Canyon, eppi, lower",2017-02-08,0,1662,76,NA,0.097,NA,NA,0
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",2017-02-08,0,1689,106,NA,0.098,NA,NA,0
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, eppi, upper",2017-02-08,0,930,104,NA,0.211,NA,NA,0
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",2017-02-08,0,1508,59,NA,0.139,NA,NA,0
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, eppi, lower",2017-02-08,0,1657,53,NA,0.115,NA,NA,0
"Roos2B","Roosevelt Lake, lower","srp","Roosevelt, hypo, lower",2017-02-08,0,1728,72,NA,0.11,NA,NA,0
"APA1A","Apache Lake, upper","srp","Apache, eppi, upper",2017-05-03,0,NA,10,4.051,0.067,NA,0.3506,0
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",2017-05-03,0,NA,NA,NA,NA,NA,NA,0
"APA2A","Apache Lake, lower","srp","Apache, eppi, lower",2017-05-03,0,NA,NA,NA,NA,NA,NA,0
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",2017-05-03,0,NA,NA,NA,NA,NA,NA,0
"Can1A","Canyon Lake, upper","srp","Canyon, eppi, upper",2017-05-03,0,1670,0,5.197,0.1,1.92418703097941,0.6294,0
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",2017-05-03,0,1724,0,4.621,0.09,NA,0.5407,0
"Can2A","Canyon Lake, lower","srp","Canyon, eppi, lower",2017-05-03,0,1691,0,4.836,0.095,NA,0.4368,0
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",2017-05-03,0,1713,0,4.553,0.09,NA,0.4454,0
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, eppi, upper",2017-05-03,0,954,0,4.42,0.116,NA,0.5062,0
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",2017-05-03,0,1524,13,4.587,0.114,NA,0.6729,0
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, eppi, lower",2017-05-03,0,1075,0,4.61,0.125,NA,0.4367,0
"Roos2B","Roosevelt Lake, lower","srp","Roosevelt, hypo, lower",2017-05-03,0,1617,3,4.298,0.107,NA,0.6457,0
"APA1A","Apache Lake, upper","srp","Apache, eppi, upper",2017-08-09,NA,1780,25,4.712,0.087,1.84634974533107,0.4977,NA
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",2017-08-09,NA,1798,23,4.921,0.097,1.97114407640723,0.9046,NA
"APA2A","Apache Lake, lower","srp","Apache, eppi, lower",2017-08-09,NA,1783,28,4.867,0.086,1.76700226011917,0.5723,NA
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",2017-08-09,NA,1797,27,5.434,0.088,1.61943319838057,0.9873,NA
"Can1A","Canyon Lake, upper","srp","Canyon, eppi, upper",2017-08-09,NA,1732,49,5.3,0.101,1.90566037735849,0.5035,NA
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",2017-08-09,NA,1755,49,6.707,0.11,1.64007753093783,1.169,NA
"Can2A","Canyon Lake, lower","srp","Canyon, eppi, lower",2017-08-09,NA,1745,41,4.547,0.096,2.11128216406422,0.5521,NA
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",2017-08-09,NA,1750,38,4.735,0.097,2.04857444561774,0.6636,NA
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, eppi, upper",2017-08-09,NA,NA,28,6.065,0.135,2.22588623248145,0.518,NA
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",2017-08-09,NA,1325,38,4.954,0.122,2.46265643924102,0.618,NA
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, eppi, lower",2017-08-09,NA,1157,17,5.545,0.099,1.78539224526601,0.5237,NA
"Roos2B","Roosevelt Lake, lower","srp","Roosevelt, hypo, lower",2017-08-09,NA,1425,82,5.055,0.113,2.23541048466865,0.7356,NA
"APA1A","Apache Lake, upper","srp","Apache, eppi, upper",2017-11-06,9.68923063833269,1742,30,4.045,0.091,NA,0.5189,6.15690001607337
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",2017-11-06,2.00907214102809,1718,66,4.364,0.099,NA,0.7649,7.47697434993568
"APA2A","Apache Lake, lower","srp","Apache, eppi, lower",2017-11-06,8.2585268268348,1737,30,4.59,0.091,NA,0.5831,7.7652041326202
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",2017-11-06,2.89464810684495,1721,43,3.815,0.09,NA,0.5105,5.59007822818177
"Can1A","Canyon Lake, upper","srp","Canyon, eppi, upper",2017-11-06,0.576314062211777,1724,31,NA,NA,NA,NA,3.82726849144982
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",2017-11-06,0.522342857209442,1719,45,NA,NA,NA,NA,4.1338702874507
"Can2A","Canyon Lake, lower","srp","Canyon, eppi, lower",2017-11-06,0.919750207538054,1707,46,NA,NA,NA,NA,3.99562841675875
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",2017-11-06,0.677346663963553,1718,44,NA,NA,NA,NA,-0.551294288767001
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, eppi, upper",2017-11-06,0.280312816783746,1455,13,4.803,0.112,NA,0.6157,4.9241680406003
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",2017-11-06,0.366405292583318,1456,28,4.675,0.113,NA,0.5591,4.28626764381263
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, eppi, lower",2017-11-06,0.382279176407534,1295,16,4.556,0.104,NA,0.5071,5.37864948477056
"Roos2B","Roosevelt Lake, lower","srp","Roosevelt, hypo, lower",2017-11-06,0.840194036842571,1362,20,4.154,0.122,NA,0.5226,0.840461015083731
"APA1A","Apache Lake, upper","srp","Apache, eppi, upper",2018-02-05,NA,1732,44,3.529,0.085,NA,NA,NA
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",2018-02-05,NA,NA,NA,NA,NA,NA,NA,NA
"APA2A","Apache Lake, lower","srp","Apache, eppi, lower",2018-02-05,NA,NA,NA,NA,NA,NA,NA,NA
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",2018-02-05,NA,NA,NA,NA,NA,NA,NA,NA
"Can1A","Canyon Lake, upper","srp","Canyon, eppi, upper",2018-02-05,NA,1740,49,4.042,0.087,NA,NA,NA
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",2018-02-05,NA,1741,45,3.773,0.085,NA,NA,NA
"Can2A","Canyon Lake, lower","srp","Canyon, eppi, lower",2018-02-05,NA,1740,38,3.893,0.087,NA,NA,NA
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",2018-02-05,NA,1733,41,3.636,0.088,NA,NA,NA
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, eppi, upper",2018-02-05,NA,1508,66,3.902,0.104,NA,NA,NA
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",2018-02-05,NA,1540,31,3.745,0.103,NA,NA,NA
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, eppi, lower",2018-02-05,NA,1473,31,4.237,0.104,NA,NA,NA
"Roos2B","Roosevelt Lake, lower","srp","Roosevelt, hypo, lower",2018-02-05,NA,1497,31,4.184,0.104,NA,NA,NA
"APA1A","Apache Lake, upper","srp","Apache, eppi, upper",2018-05-08,27.7009652879767,1682,33,5.279,0.082,1.55332449327524,0.4398,1.86643125726277
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",2018-05-08,9.29069677870384,1646,24,6.28,0.096,1.52866242038217,1.287,1.00336800467381
"APA2A","Apache Lake, lower","srp","Apache, eppi, lower",2018-05-08,40.5848203886457,1718,27,4.762,0.082,1.72196556068879,0.3361,1.88791459492445
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",2018-05-08,4.42027109260364,1739,31,4.596,0.083,1.8059181897302,0.7047,1.00336800467381
"Can1A","Canyon Lake, upper","srp","Canyon, eppi, upper",2018-05-08,1.46609824830883,1745,33,4.611,0.083,1.80004337453915,0.5189,1.00336800467381
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",2018-05-08,73.7930615845739,1764,27,5.915,0.099,1.67371090448014,1.381,1.5485076978389
"Can2A","Canyon Lake, lower","srp","Canyon, eppi, lower",2018-05-08,13.21204767183,1747,28,4.76,0.084,1.76470588235294,0.5851,1.42124876016243
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",2018-05-08,34.2418108850601,1750,25,4.702,0.084,1.78647384091876,0.6156,1.32158994378742
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, eppi, upper",2018-05-08,17.7218007989256,1763,20,5.016,0.091,1.81419457735247,0.4027,2.20285435745087
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",2018-05-08,2.75291480953476,1691,31,4.89,0.097,1.98364008179959,0.5397,1.00336800467381
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, eppi, lower",2018-05-08,3.5810227184977,1606,15,5.526,0.091,1.64676076728194,0.6028,2.09484090976298
"Roos2B","Roosevelt Lake, lower","srp","Roosevelt, hypo, lower",2018-05-08,1.12055815445681,1558,21,4.848,0.093,1.91831683168317,0.8126,1.00336800467381
"APA1A","Apache Lake, upper","srp","Apache, eppi, upper",2018-08-06,20.1668006492281,1679,34,5.014,0.092,1.8348623853211,0.3549,1.7655299420449
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",2018-08-06,4.11375843196728,1682,25,4.746,0.086,1.81205225453013,0.4779,0.952235041481054
"APA2A","Apache Lake, lower","srp","Apache, eppi, lower",2018-08-06,15.6891088250569,1685,23,4.739,0.084,1.7725258493353,0.3067,1.56054311624176
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",2018-08-06,4.10178866099601,1676,27,4.597,0.087,1.89253861213835,0.4957,1.06238645278055
"Can1A","Canyon Lake, upper","srp","Canyon, eppi, upper",2018-08-06,NA,NA,NA,NA,NA,NA,NA,NA
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",2018-08-06,NA,NA,NA,NA,NA,NA,NA,NA
"Can2A","Canyon Lake, lower","srp","Canyon, eppi, lower",2018-08-06,NA,NA,NA,NA,NA,NA,NA,NA
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",2018-08-06,NA,NA,NA,NA,NA,NA,NA,NA
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, eppi, upper",2018-08-06,0.855237655266218,2100,28,5.367,0.096,1.78870877585243,0.4308,4.11661280372814
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",2018-08-06,0.96861798585524,2100,45,6.037,0.099,1.63988736127216,0.6396,4.05055289835611
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, eppi, lower",2018-08-06,0.929633106789073,1903,10,5.398,0.083,1.53760652093368,0.4575,6.5359214693202
"Roos2B","Roosevelt Lake, lower","srp","Roosevelt, hypo, lower",2018-08-06,1.84573620313923,1695,10,5.515,0.099,1.79510426110607,0.5897,2.18571425818175
"APA1A","Apache Lake, upper","srp","Apache, eppi, upper",2019-02-25,NA,NA,NA,NA,NA,NA,NA,NA
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",2019-02-25,0,1688,0.032,3.66,0.087,2.351,0.305,0
"APA2A","Apache Lake, lower","srp","Apache, eppi, lower",2019-02-25,NA,NA,NA,NA,NA,NA,NA,NA
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",2019-02-25,NA,NA,NA,NA,NA,NA,NA,NA
"Can1A","Canyon Lake, upper","srp","Canyon, eppi, upper",2019-02-25,0,1748,0.06,5.025,0.171,3.98,0,0
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",2019-02-25,NA,NA,NA,NA,NA,NA,NA,NA
"Can2A","Canyon Lake, lower","srp","Canyon, eppi, lower",2019-02-25,NA,NA,NA,NA,NA,NA,NA,NA
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",2019-02-25,NA,NA,NA,NA,NA,NA,NA,NA
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, eppi, upper",2019-02-25,0,1197,0.031,3.622,0.124,3.44,0.4712,0
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",2019-02-25,NA,NA,NA,NA,NA,NA,NA,NA
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, eppi, lower",2019-02-25,NA,NA,NA,NA,NA,NA,NA,NA
"Roos2B","Roosevelt Lake, lower","srp","Roosevelt, hypo, lower",2019-02-25,NA,NA,NA,NA,NA,NA,NA,NA
"APA1A","Apache Lake, upper","srp","Apache, eppi, upper",2019-05-07,19.0703643303716,1640,10,4.707,0.072,1.529,0.6329,54.8667171519201
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",2019-05-07,0.34279469633011,1664,9,4.233,0.076,1.795,0.6762,2.4197582824649
"APA2A","Apache Lake, lower","srp","Apache, eppi, lower",2019-05-07,20.5110513566797,NA,16,4.536,0.074,1.631,0.5448,34.0192466259251
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",2019-05-07,2.92323128881965,NA,9,4.346,0.08,1.84,0.5427,1.71673232783191
"Can1A","Canyon Lake, upper","srp","Canyon, eppi, upper",2019-05-07,35.5679102214225,NA,23,5.75,0.114,1.98,0.9117,31.9058894736066
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",2019-05-07,2.79568464282324,NA,39,5.468,0.109,1.645,1.098,1.54617211796878
"Can2A","Canyon Lake, lower","srp","Canyon, eppi, lower",2019-05-07,11.518331959951,NA,21,5.593,0.119,2.127,0.7634,17.3752599817183
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",2019-05-07,1.12895409442894,NA,24,4.965,0.1,2.014,0.7036,-0.852674704622395
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, eppi, upper",2019-05-07,13.7737742516099,NA,19,4.47,0.111,2.48322147651007,0.5106,-0.852674704622395
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",2019-05-07,-2.38016732976395,NA,15,4.965,0.136,2.73917421953676,0.8061,-0.852674704622395
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, eppi, lower",2019-05-07,-0.920416391954566,NA,35,4.87,0.119,2.4435318275154,0.5196,-0.852674704622395
"Roos2B","Roosevelt Lake, lower","srp","Roosevelt, hypo, lower",2019-05-07,-2.38016732976395,1666,19,4.421,0.099,2.25,0.7635,-0.852674704622395
"APA1A","Apache Lake, upper","srp","Apache, eppi, upper",2019-08-19,16.0904514696623,1367,16,5.275,0.092,1.74407582938389,0.726,2.04627285492158
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",2019-08-19,3.2646158033167,1427,21,4.649,0.097,2.08647020864702,0.874,2.98599592551251
"APA2A","Apache Lake, lower","srp","Apache, eppi, lower",2019-08-19,6.93343570542668,1428,19,4.82,0.093,1.92946058091286,0.6289,5.31665644308999
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",2019-08-19,0.287480894057553,1396,9,4.596,0.096,2.088772845953,0.8578,2.05531187270068
"Can1A","Canyon Lake, upper","srp","Canyon, eppi, upper",2019-08-19,1.6505762377385,946,42,4.761,0.09,1.89035916824197,0.7206,10.9515131708985
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",2019-08-19,1.32804350938481,1066,23,4.759,0.109,2.29039714225678,0.9128,10.4052886742914
"Can2A","Canyon Lake, lower","srp","Canyon, eppi, lower",2019-08-19,3.1578198346686,844,25,4.545,0.09,1.98019801980198,0.5924,9.58046156302598
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",2019-08-19,1.83462628147156,943,23,4.439,0.091,2.05001126379815,0.6967,8.93226355473307
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, eppi, upper",2019-08-19,-1.40620037909908,1383,11,4.811,0.108,2.2448555393889,0.4171,4.01369876915343
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",2019-08-19,3.7855243703642,1385,62,4.97,0.131,2.63581488933602,0.9293,1.82993902940826
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, eppi, lower",2019-08-19,-0.438116573869867,1486,10,4.844,0.108,2.22956234516928,0.5301,15.929668518133
"Roos2B","Roosevelt Lake, lower","srp","Roosevelt, hypo, lower",2019-08-19,0.615031697482235,1433,13,4.929,0.125,2.5360113613309,0.8079,2.04941977222245
"APA1A","Apache Lake, upper","srp","Apache, eppi, upper",2019-11-26,NA,NA,NA,NA,NA,NA,NA,NA
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",2019-11-26,NA,NA,NA,NA,NA,NA,NA,NA
